"name","company_name"
東京Ruby会議10,東京Ruby会議10
有限会社伊藤ソフトデザイン,有限会社伊藤ソフトデザイン
クリプトン教育情報,クリプトン教育情報
WirelessWire_News,WirelessWire News
F5 Japan,F5 Japan
CAMPHOR-,CAMPHOR-
GDG Osaka,GDG Osaka
フナキ電機,フナキ電機
KYOTO Design Lab,KYOTO Design Lab
NPO法人みんなのコード,NPO法人みんなのコード
tminfo.tech,tminfo.tech
KCOS会,KCOS会
モーフ・ラボ,モーフ・ラボ
Japan Clouds,Japan Clouds
合同会社グラウンドステップ,合同会社グラウンドステップ
NPO法人JASIPA,NPO法人JASIPA
Baseball LAB,Baseball LAB
大樹ビジネスコンサルティング（TJBC）,大樹ビジネスコンサルティング（TJBC）
アクセスネット情報技研,アクセスネット情報技研
JAXA航空技術部門,JAXA航空技術部門
那由多屋,株式会社那由多屋
創職{SOUSYOKU},創職{SOUSYOKU}
まなクル浜松,まなクル浜松
ぱんぷきんラボ,ぱんぷきんラボ
NetBeans日本語コミュニティ,NetBeans日本語コミュニティ
ビーコンシステムITスクール,ビーコンシステムITスクール
DX情報ポータル_Digital_incubate,DX情報ポータル_Digital_incubate
Rita株式会社,Rita株式会社
山崎行政書士事務所,山崎行政書士事務所
+AI Studio,+AI Studio
オフィスアイ株式会社,オフィスアイ株式会社
株式会社コンサルリンク,株式会社コンサルリンク
Shaxware,株式会社Shaxware
縁人,株式会社縁人
デジタルスケープ,デジタルスケープ
Computer Futures Japan,Computer Futures Japan
SAT-BOX,SAT-BOX
おばあちゃんのプログラミング教室（ばあプロ）As A Service,おばあちゃんのプログラミング教室（ばあプロ）As A Service
Google Cloud Japan,Google Cloud Japan
ELSA JAPAN,ELSA JAPAN
オープンアップITエンジニア,株式会社オープンアップITエンジニア
KILLIAN.arts,KILLIAN.arts
アルゴ式,株式会社アルゴ式
領域ZERO,領域ZERO
日テレR&Dラボ,日テレR&Dラボ
破綻国家研究所,破綻国家研究所
Corevice,"Corevice, LLC"
AI Network Technology,AI Network Technology
Codatum Japan,Codatum Japan
Fastly Japan,Fastly Japan
Kanasansoft,Kanasansoft
"Groovenauts, Inc.","Groovenauts, Inc."
